0,1,2,3,4,5,6,7,8
주요재무정보,"2018/12
									
(IFRS연결)","2019/12
									
(IFRS연결)","2020/12
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)","2021/03
									
(IFRS연결)","2021/06
									
(IFRS연결)","2021/09
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)"
매출액,"84,182","101,180","111,326",,"29,367","28,757","30,096",
영업이익,"3,127","3,528","6,080",,"1,788","2,231","2,359",
영업이익(발표기준),"3,127","3,528","6,080",,"1,788","2,231","2,359",
세전계속사업이익,"3,148","4,144","6,014",,"1,821","2,265","2,361",
당기순이익,"2,347","3,013","4,318",,"1,320","1,641","1,709",
당기순이익(지배),"2,338","3,004","4,311",,"1,315","1,640","1,708",
당기순이익(비지배),9,9,7,,5,1,1,
자산총계,"204,788","232,157","253,593",,"255,167","262,722","270,726",
부채총계,"181,956","207,751","226,762",,"231,871","238,171","246,426",
자본총계,"22,832","24,405","26,831",,"23,296","24,551","24,300",
자본총계(지배),"22,765","24,324","26,748",,"23,208","24,462","24,204",
자본총계(비지배),,81,82,,88,89,96,
자본금,568,568,603,,603,603,603,
영업활동현금흐름,"13,225","10,261","3,485",,"14,516","10,070","-3,640",
투자활동현금흐름,"-13,621","-13,889","-4,121",,"-13,753","-9,330","7,887",
재무활동현금흐름,297,"3,781",-634,,-336,422,"-1,182",
CAPEX,42,238,110,,77,49,53,
FCF,,,,,,,,
이자발생부채,"3,853","8,840","7,480",,"7,481","9,574","9,576",
영업이익률,3.72,3.49,5.46,,6.09,7.76,7.84,
순이익률,2.79,2.98,3.88,,4.49,5.71,5.68,
ROE(%),11.59,12.80,16.91,,19.28,20.54,22.43,
ROA(%),1.21,1.38,1.78,,1.86,2.03,2.22,
부채비율,796.93,851.25,845.16,,995.32,970.13,"1,014.09",
자본유보율,"3,976.72","4,269.42","4,429.90",,"3,883.35","4,102.19","4,245.76",
EPS(원),"2,088","2,643","3,761",,"1,090","1,360","1,416",
PER(배),10.46,6.75,3.88,,4.89,4.66,6.34,
BPS(원),"20,348","21,819","22,664",,"19,886","21,022","21,646",
PBR(배),1.07,0.82,0.64,,0.97,0.97,1.41,
현금DPS(원),820,850,"1,280",544,0,0,0,
현금배당수익률,3.75,4.76,8.77,1.10,,,,
현금배당성향(%),39.24,31.54,35.04,,0.00,0.00,0.00,
발행주식수(보통주),"113,680,000","113,680,000","120,625,000",,"120,625,000","120,625,000","120,625,000",
