0,1,2,3,4,5,6,7,8
주요재무정보,"2018/12
									
(IFRS연결)","2019/12
									
(IFRS연결)","2020/12
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)","2021/03
									
(IFRS연결)","2021/06
									
(IFRS연결)","2021/09
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)"
매출액,"18,856","20,351","22,563","21,921","5,351","5,655","5,574","5,355"
영업이익,904,882,"1,985","1,732",529,426,449,327
영업이익(발표기준),904,882,"1,985",,529,426,449,
세전계속사업이익,420,4,"1,236","1,225",479,330,216,227
당기순이익,223,-424,866,817,291,237,134,163
당기순이익(지배),222,-423,867,824,291,237,134,173
당기순이익(비지배),0,0,-1,,0,0,0,
자산총계,"34,281","32,709","32,978","32,819","38,601","34,142","33,927","32,819"
부채총계,"22,658","22,377","22,235","21,769","28,088","23,393","23,032","21,769"
자본총계,"11,624","10,332","10,743","11,050","10,513","10,749","10,895","11,050"
자본총계(지배),"11,618","10,325","10,738","11,044","10,508","10,744","10,890","11,044"
자본총계(비지배),,7,5,,5,5,5,
자본금,"3,688","3,688","3,688","3,689","3,688","3,688","3,688","3,689"
영업활동현금흐름,"1,410",283,"3,828","2,731","4,620","-2,968",527,
투자활동현금흐름,"-1,014",-660,"-1,411","-1,386",-448,-402,-348,
재무활동현금흐름,-387,"-1,116","-1,166","-1,201","1,395","-1,166",33,
CAPEX,"1,193","1,607","1,512","1,452",495,305,262,
FCF,217,"-1,325","2,316","1,318","4,125","-3,273",265,
이자발생부채,"10,652","11,715","11,019",,"12,432","11,809","11,882",
영업이익률,4.80,4.34,8.80,7.90,9.89,7.54,8.05,6.10
순이익률,1.18,-2.08,3.84,3.73,5.45,4.19,2.40,3.04
ROE(%),1.87,-3.86,8.23,7.57,7.96,6.67,4.81,
ROA(%),0.64,-1.27,2.64,2.48,2.20,1.85,1.42,
부채비율,194.92,216.58,206.98,197.01,267.17,217.62,211.39,197.01
자본유보율,240.09,202.85,214.28,,208.02,214.44,218.07,
EPS(원),312,-594,"1,216","1,156",408,333,188,243
PER(배),53.17,N/A,26.18,29.18,31.87,37.73,45.14,
BPS(원),"16,648","14,796","15,388","15,826","15,058","15,396","15,606","15,826"
PBR(배),1.00,1.96,2.07,2.13,2.45,2.45,2.12,2.13
현금DPS(원),800,700,750,750,,,,
현금배당수익률,4.82,2.41,2.35,2.22,,,,
현금배당성향(%),251.17,-115.48,60.43,63.82,0.00,,0.00,
발행주식수(보통주),"70,133,611","70,133,611","70,133,611",,"70,133,611",,,
