0,1,2,3,4,5,6,7,8
미원상사(소재),"2016/12
									
(IFRS연결)","2017/12
									
(IFRS연결)","2018/12
									
(IFRS연결)","2019/12
									
(IFRS연결)","2020/12
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)","2022/12(E)
									
(IFRS연결)","2023/12(E)
									
(IFRS연결)"
매출액,"2,430","3,187","3,286","2,500","2,950",,,
영업이익,167,110,272,323,429,,,
영업이익(발표기준),228,110,272,323,429,,,
세전계속사업이익,260,311,260,414,625,,,
당기순이익,264,299,242,311,518,,,
당기순이익(지배),219,272,215,311,518,,,
당기순이익(비지배),45,27,27,,,,,
자산총계,"3,296","2,901","2,455","2,807","3,290",,,
부채총계,904,829,479,561,614,,,
자본총계,"2,392","2,072","1,977","2,246","2,676",,,
자본총계(지배),"1,835","1,811","1,977","2,246","2,676",,,
자본총계(비지배),557,261,,,,,,
자본금,79,80,80,67,67,,,
영업활동현금흐름,305,306,374,197,551,,,
투자활동현금흐름,-133,-233,-158,-318,-323,,,
재무활동현금흐름,-64,-221,-11,-17,-98,,,
CAPEX,201,255,310,421,427,,,
FCF,103,50,64,-224,124,,,
이자발생부채,318,291,3,6,7,,,
영업이익률,6.87,3.45,8.27,12.90,14.54,,,
순이익률,10.85,9.38,7.37,12.45,17.58,,,
ROE(%),13.26,14.93,11.37,14.74,21.07,,,
ROA(%),9.40,9.64,9.04,11.83,17.01,,,
부채비율,37.77,40.03,24.21,25.00,22.94,,,
자본유보율,"2,061.51","2,132.69","2,326.05","3,246.25","3,868.20",,,
EPS(원),"3,808","4,878","4,184","6,164","10,365",,,
PER(배),8.48,7.11,9.47,9.25,11.72,,,
BPS(원),"32,161","35,278","39,265","44,134","53,838",,,
PBR(배),1.00,0.98,1.01,1.29,2.26,,,
현금DPS(원),0,0,770,654,700,,,
현금배당수익률,0.00,0.00,1.94,1.15,0.58,,,
현금배당성향(%),0.00,0.00,17.98,10.64,6.71,,,
발행주식수(보통주),"5,723,939","5,151,757","5,034,823","5,088,000","5,000,000",,,
