0,1,2,3,4,5,6,7,8
덴티움(건강관리),"2016/12
									
(IFRS연결)","2017/12
									
(IFRS연결)","2018/12
									
(IFRS연결)","2019/12
									
(IFRS연결)","2020/12
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)","2022/12(E)
									
(IFRS연결)","2023/12(E)
									
(IFRS연결)"
매출액,"1,200","1,506","1,863","2,526","2,297","2,778","3,304","3,828"
영업이익,285,411,420,447,396,601,760,900
영업이익(발표기준),285,411,420,447,396,,,
세전계속사업이익,264,359,420,336,261,630,734,910
당기순이익,200,303,343,137,222,494,578,723
당기순이익(지배),198,301,343,148,225,492,577,727
당기순이익(비지배),2,2,0,-11,-3,,,
자산총계,"1,874","3,109","4,368","5,471","5,102","5,482","6,101","6,566"
부채총계,"1,179","1,484","2,421","3,406","2,816","2,684","2,744","2,504"
자본총계,694,"1,625","1,947","2,065","2,286","2,798","3,358","4,062"
자본총계(지배),690,"1,619","1,941","2,069","2,293","2,800","3,360","4,068"
자본총계(비지배),4,6,,-4,-7,,,
자본금,62,62,62,62,62,61,61,61
영업활동현금흐름,176,217,-6,-116,758,470,574,814
투자활동현금흐름,-191,-739,"-1,118",-560,-93,-266,-351,-454
재무활동현금흐름,52,964,802,746,-500,-243,-96,-378
CAPEX,182,723,"1,074",513,86,214,322,430
FCF,-6,-507,"-1,080",-629,671,217,252,379
이자발생부채,779,974,"1,933","2,721","2,189",,,
영업이익률,23.77,27.27,22.52,17.68,17.23,21.64,23.02,23.53
순이익률,16.66,20.11,18.39,5.43,9.67,17.77,17.51,18.89
ROE(%),33.68,26.05,19.25,7.37,10.34,19.32,18.73,19.57
ROA(%),11.83,12.16,9.16,2.79,4.20,9.33,9.99,11.42
부채비율,169.81,91.35,124.32,164.90,123.20,95.91,81.71,61.63
자본유보율,"1,658.20","2,854.73","3,378.88","3,579.39","3,949.55",,,
EPS(원),"1,788","2,716","3,095","1,336","2,037","4,445","5,213","6,568"
PER(배),,22.94,18.58,40.28,20.18,12.60,10.74,8.53
BPS(원),"6,234","18,768","22,506","23,996","26,588","32,474","38,967","47,177"
PBR(배),0.00,3.32,2.55,2.24,1.55,1.72,1.44,1.19
현금DPS(원),100,150,150,0,200,200,200,200
현금배당수익률,,0.24,0.26,0.00,0.49,0.36,0.36,0.36
현금배당성향(%),3.07,4.30,3.78,0.00,7.65,4.50,3.84,3.04
발행주식수(보통주),"11,068,830","11,068,830","11,068,830","11,068,830","11,068,830",,,
