0,1,2,3,4,5,6,7,8
대동금속(경기관련소비재),"2016/12
									
(IFRS별도)","2017/12
									
(IFRS별도)","2018/12
									
(IFRS별도)","2019/12
									
(IFRS별도)","2020/12
									
(IFRS별도)","2021/12(E)
									
(IFRS별도)","2022/12(E)
									
(IFRS별도)","2023/12(E)
									
(IFRS별도)"
매출액,611,747,809,885,"1,111",,,
영업이익,6,16,19,33,29,,,
영업이익(발표기준),6,16,19,33,29,,,
세전계속사업이익,-3,11,11,-1,17,,,
당기순이익,-3,8,9,0,15,,,
당기순이익(지배),-3,8,9,0,15,,,
당기순이익(비지배),,,,,,,,
자산총계,654,694,851,"1,065","1,062",,,
부채총계,390,418,520,719,702,,,
자본총계,264,276,331,346,360,,,
자본총계(지배),264,276,331,346,360,,,
자본총계(비지배),,,,,,,,
자본금,24,24,24,26,26,,,
영업활동현금흐름,21,14,2,132,83,,,
투자활동현금흐름,-11,-20,-81,-185,-24,,,
재무활동현금흐름,-10,5,93,70,-2,,,
CAPEX,12,19,78,186,25,,,
FCF,10,-4,-76,-54,58,,,
이자발생부채,171,182,260,336,348,,,
영업이익률,1.02,2.15,2.36,3.69,2.65,,,
순이익률,-0.42,1.12,1.06,0.00,1.37,,,
ROE(%),-0.95,3.10,2.84,0.00,4.32,,,
ROA(%),-0.39,1.24,1.11,0.00,1.43,,,
부채비율,148.09,151.30,157.04,207.82,195.22,,,
자본유보율,625.50,678.02,683.13,695.19,731.17,,,
EPS(원),-106,349,359,0,585,,,
PER(배),N/A,22.94,27.39,"33,025.44",15.82,,,
BPS(원),"10,979","11,504","13,790","13,552","13,796",,,
PBR(배),0.68,0.70,0.71,0.75,0.67,,,
현금DPS(원),50,60,60,60,60,,,
현금배당수익률,0.67,0.75,0.61,0.59,0.65,,,
현금배당성향(%),-47.35,17.20,16.73,"20,112.62",10.27,,,
발행주식수(보통주),"2,400,000","2,400,000","2,400,000","2,553,860","2,607,711",,,
