0,1,2,3,4,5,6,7,8
KH 필룩스(IT),"2016/12
									
(IFRS연결)","2017/12
									
(IFRS연결)","2018/12
									
(IFRS연결)","2019/12
									
(IFRS연결)","2020/12
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)","2022/12(E)
									
(IFRS연결)","2023/12(E)
									
(IFRS연결)"
매출액,"1,078","1,120","1,100","1,351","1,188",,,
영업이익,106,84,10,29,1,,,
영업이익(발표기준),106,84,10,29,1,,,
세전계속사업이익,93,63,-102,-149,-450,,,
당기순이익,59,37,-110,-117,-471,,,
당기순이익(지배),55,43,-100,-114,-470,,,
당기순이익(비지배),3,-6,-10,-3,-2,,,
자산총계,"1,656","1,918","3,041","4,168","3,831",,,
부채총계,861,981,"1,441","1,444","1,131",,,
자본총계,794,937,"1,600","2,724","2,700",,,
자본총계(지배),762,931,"1,595","2,721","2,688",,,
자본총계(비지배),32,7,,3,12,,,
자본금,131,158,271,407,452,,,
영업활동현금흐름,-79,88,-229,244,71,,,
투자활동현금흐름,-185,-101,-558,"-1,119",-280,,,
재무활동현금흐름,341,-42,902,"1,046",-23,,,
CAPEX,31,58,34,357,43,,,
FCF,-110,30,-264,-113,28,,,
이자발생부채,586,631,994,"1,107",766,,,
영업이익률,9.84,7.50,0.94,2.15,0.05,,,
순이익률,5.43,3.33,-10.04,-8.65,-39.67,,,
ROE(%),7.74,5.07,-7.95,-5.29,-17.37,,,
ROA(%),4.34,2.08,-4.45,-3.24,-11.78,,,
부채비율,108.43,104.65,90.04,53.01,41.90,,,
자본유보율,420.41,449.72,472.62,560.73,462.13,,,
EPS(원),192,129,-189,-151,-483,,,
PER(배),15.35,22.91,N/A,N/A,N/A,,,
BPS(원),"2,590","2,675","2,675","3,029","2,695",,,
PBR(배),1.14,1.11,4.23,2.32,1.41,,,
현금DPS(원),68,44,0,0,0,,,
현금배당수익률,2.33,1.48,0.00,0.00,0.00,,,
현금배당성향(%),36.30,35.45,0.00,0.00,0.00,,,
발행주식수(보통주),"29,407,476","35,610,834","59,615,388","89,812,569","99,726,280",,,
