0,1,2,3,4,5,6,7,8
SV인베스트먼트(금융),"2017/03
									
(IFRS연결)","2018/03
									
(IFRS연결)","2019/03
									
(IFRS연결)","2020/03
									
(IFRS연결)","2021/03
									
(IFRS연결)","2022/03(E)
									
(IFRS연결)","2023/03(E)
									
(IFRS연결)","2024/03(E)
									
(IFRS연결)"
매출액,108,180,306,116,299,,,
영업이익,26,76,80,-24,110,,,
영업이익(발표기준),26,76,80,-24,110,,,
세전계속사업이익,26,75,80,-24,109,,,
당기순이익,21,61,80,-24,89,,,
당기순이익(지배),21,61,80,-24,89,,,
당기순이익(비지배),0,0,0,0,0,,,
자산총계,289,339,677,600,750,,,
부채총계,100,106,83,64,145,,,
자본총계,189,233,594,536,605,,,
자본총계(지배),189,233,594,536,605,,,
자본총계(비지배),,,,,,,,
자본금,113,113,133,266,266,,,
영업활동현금흐름,4,117,127,-145,1,,,
투자활동현금흐름,-1,-65,-278,137,21,,,
재무활동현금흐름,4,-7,199,-38,-21,,,
CAPEX,3,0,4,0,0,,,
FCF,,,,,,,,
이자발생부채,74,67,0,0,0,,,
영업이익률,23.99,42.10,26.11,-20.88,36.84,,,
순이익률,19.60,34.23,26.12,-20.80,29.66,,,
ROE(%),,29.13,19.34,-4.26,15.54,,,
ROA(%),,19.58,15.74,-3.77,13.13,,,
부채비율,52.86,45.49,14.00,12.04,23.91,,,
자본유보율,67.48,106.12,346.07,101.26,127.48,,,
EPS(원),51,136,156,-45,167,,,
PER(배),,,13.62,N/A,26.92,,,
BPS(원),419,515,"1,115","1,006","1,137",,,
PBR(배),0.00,0.00,1.91,4.44,3.94,,,
현금DPS(원),0,0,60,30,50,,,
현금배당수익률,,,2.82,0.67,1.11,,,
현금배당성향(%),0.00,0.00,39.97,-66.38,30.02,,,
발행주식수(보통주),"45,200,000","45,200,000","53,234,000","53,234,000","53,234,000",,,
