0,1,2,3,4,5,6,7,8
삼천당제약(건강관리),"2016/12
									
(IFRS연결)","2017/12
									
(IFRS연결)","2018/12
									
(IFRS연결)","2019/12
									
(IFRS연결)","2020/12
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)","2022/12(E)
									
(IFRS연결)","2023/12(E)
									
(IFRS연결)"
매출액,"1,474","1,606","1,600","1,866","1,669",,,
영업이익,244,240,155,252,55,,,
영업이익(발표기준),244,240,155,252,55,,,
세전계속사업이익,227,241,145,193,166,,,
당기순이익,156,205,146,196,75,,,
당기순이익(지배),87,125,88,105,-10,,,
당기순이익(비지배),69,80,58,91,85,,,
자산총계,"2,051","2,301","2,612","2,902","3,171",,,
부채총계,341,364,554,670,594,,,
자본총계,"1,710","1,938","2,058","2,232","2,577",,,
자본총계(지배),"1,252","1,413","1,485","1,579","1,866",,,
자본총계(비지배),458,524,,653,711,,,
자본금,110,111,111,111,114,,,
영업활동현금흐름,178,261,250,306,32,,,
투자활동현금흐름,-72,-94,-503,-193,-192,,,
재무활동현금흐름,32,-33,148,-24,147,,,
CAPEX,41,33,116,66,87,,,
FCF,137,228,135,240,-54,,,
이자발생부채,70,53,202,239,271,,,
영업이익률,16.53,14.93,9.69,13.51,3.31,,,
순이익률,10.60,12.76,9.12,10.50,4.49,,,
ROE(%),7.27,9.39,6.04,6.82,-0.56,,,
ROA(%),8.02,9.41,5.94,7.11,2.47,,,
부채비율,19.95,18.78,26.92,30.00,23.04,,,
자본유보율,"1,056.45","1,138.97","1,264.92","1,344.45","1,555.79",,,
EPS(원),408,566,396,473,-43,,,
PER(배),28.70,27.28,95.95,75.30,N/A,,,
BPS(원),"5,876","6,603","6,938","7,375","8,457",,,
PBR(배),1.99,2.34,5.48,4.83,9.71,,,
현금DPS(원),50,50,50,50,,,,
현금배당수익률,0.43,0.32,0.13,0.14,,,,
현금배당성향(%),12.23,8.55,12.23,10.24,0.00,,,
발행주식수(보통주),"22,000,523","22,105,813","22,105,813","22,105,813","22,768,041",,,
