0,1,2,3,4,5,6,7,8
팬스타엔터프라이즈(경기관련소비재),"2016/12
									
(IFRS별도)","2017/12
									
(IFRS별도)","2018/12
									
(IFRS별도)","2019/12
									
(IFRS별도)","2020/12
									
(IFRS별도)","2021/12(E)
									
(IFRS별도)","2022/12(E)
									
(IFRS별도)","2023/12(E)
									
(IFRS별도)"
매출액,281,335,284,372,320,,,
영업이익,-24,27,7,16,-26,,,
영업이익(발표기준),-24,27,7,16,-26,,,
세전계속사업이익,-34,18,-9,9,-64,,,
당기순이익,-34,18,-9,9,-64,,,
당기순이익(지배),-34,18,-9,9,-64,,,
당기순이익(비지배),,,,,,,,
자산총계,421,422,451,675,710,,,
부채총계,217,138,141,264,346,,,
자본총계,204,285,311,411,364,,,
자본총계(지배),204,285,311,411,364,,,
자본총계(비지배),,,,,,,,
자본금,136,206,217,262,262,,,
영업활동현금흐름,-1,33,8,3,31,,,
투자활동현금흐름,-81,-29,-18,-110,-79,,,
재무활동현금흐름,59,-25,13,135,80,,,
CAPEX,66,61,10,100,75,,,
FCF,-67,-28,-3,-97,-44,,,
이자발생부채,171,87,86,178,226,,,
영업이익률,-8.49,8.14,2.58,4.28,-8.00,,,
순이익률,-11.98,5.36,-3.34,2.47,-20.06,,,
ROE(%),-15.42,7.35,-3.18,2.55,-16.59,,,
ROA(%),-8.29,4.26,-2.17,1.63,-9.29,,,
부채비율,106.34,48.30,45.24,64.16,95.11,,,
자본유보율,56.72,43.50,45.56,57.38,37.94,,,
EPS(원),-108,56,-23,19,-123,,,
PER(배),N/A,14.56,N/A,49.54,N/A,,,
BPS(원),657,693,718,786,694,,,
PBR(배),2.24,1.17,1.00,1.22,1.04,,,
현금DPS(원),0,0,0,0,0,,,
현금배당수익률,0.00,0.00,0.00,0.00,0.00,,,
현금배당성향(%),0.00,0.00,0.00,0.00,0.00,,,
발행주식수(보통주),"31,075,136","41,124,943","43,317,303","52,317,968","52,447,890",,,
