0,1,2,3,4,5,6,7,8
아이씨케이(IT),"2016/12
									
(IFRS연결)","2017/12
									
(IFRS연결)","2018/12
									
(IFRS연결)","2019/12
									
(IFRS연결)","2020/12
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)","2022/12(E)
									
(IFRS연결)","2023/12(E)
									
(IFRS연결)"
매출액,247,272,241,247,278,,,
영업이익,2,-73,-23,-2,-32,,,
영업이익(발표기준),2,-73,-23,-2,-32,,,
세전계속사업이익,3,-100,-26,-1,-29,,,
당기순이익,2,-97,-27,0,-33,,,
당기순이익(지배),2,-97,-27,0,-33,,,
당기순이익(비지배),,,,,,,,
자산총계,415,298,275,359,353,,,
부채총계,133,126,135,210,184,,,
자본총계,282,173,140,148,169,,,
자본총계(지배),282,173,140,148,169,,,
자본총계(비지배),,,,,,,,
자본금,62,62,62,62,68,,,
영업활동현금흐름,14,-30,-5,2,-1,,,
투자활동현금흐름,35,-3,-7,-88,46,,,
재무활동현금흐름,22,-13,2,76,-6,,,
CAPEX,5,11,3,13,4,,,
FCF,9,-41,-8,-10,-5,,,
이자발생부채,101,101,106,174,142,,,
영업이익률,0.66,-26.68,-9.45,-0.65,-11.44,,,
순이익률,1.01,-35.81,-11.27,0.03,-11.73,,,
ROE(%),0.87,-42.83,-17.39,0.05,-20.54,,,
ROA(%),0.62,-27.29,-9.47,0.02,-9.16,,,
부채비율,47.25,72.82,96.87,142.06,108.56,,,
자본유보율,368.08,211.55,157.38,170.16,176.72,,,
EPS(원),8,-312,-87,0,-103,,,
PER(배),223.31,N/A,N/A,"8,179.24",N/A,,,
BPS(원),920,573,463,492,511,,,
PBR(배),1.95,4.10,2.60,3.58,7.63,,,
현금DPS(원),0,0,0,0,,,,
현금배당수익률,0.00,0.00,0.00,0.00,,,,
현금배당성향(%),0.00,0.00,0.00,0.00,0.00,,,
발행주식수(보통주),"31,179,722","31,179,722","31,179,722","31,179,722","34,117,222",,,
