0,1,2,3,4,5,6,7,8
비트나인(IT),"2016/12
									
(IFRS별도)","2017/12
									
(GAAP개별)","2018/12
									
(GAAP개별)","2019/12
									
(IFRS연결)","2020/12
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)","2022/12(E)
									
(IFRS연결)","2023/12(E)
									
(IFRS연결)"
매출액,,,134,137,116,175,220,280
영업이익,,,-46,-65,-9,29,66,145
영업이익(발표기준),,,-46,-65,-9,,,
세전계속사업이익,,,-71,-98,-102,28,64,144
당기순이익,,,-71,-98,-102,22,50,112
당기순이익(지배),,,-71,-98,-102,22,50,112
당기순이익(비지배),,,,,,,,
자산총계,,,124,85,71,,,
부채총계,,,78,272,112,,,
자본총계,,,46,-187,-41,,,
자본총계(지배),,,46,-187,-41,,,
자본총계(비지배),,,,,,,,
자본금,,,9,11,22,,,
영업활동현금흐름,,,-26,-45,-18,,,
투자활동현금흐름,,,-15,-2,-1,,,
재무활동현금흐름,,,79,5,42,,,
CAPEX,,,1,0,5,,,
FCF,,,-26,-45,-23,,,
이자발생부채,,,32,81,53,,,
영업이익률,,,-34.38,-47.86,-7.42,16.57,30.00,51.79
순이익률,,,-52.99,-72.03,-88.34,12.57,22.73,40.00
ROE(%),,,,,89.77,,,
ROA(%),,,,,-131.45,,,
부채비율,,,171.36,-145.24,-273.74,,,
자본유보율,,,430.73,"-1,761.92",-285.25,,,
EPS(원),,,"-1,536","-1,817","-1,803",263,483,"1,082"
PER(배),,,,,,55.38,30.13,13.45
BPS(원),,,841,"-3,377",-597,,,
PBR(배),,,0.00,0.00,0.00,,,
현금DPS(원),0,0,0,0,0,,,
현금배당수익률,,,,,,,,
현금배당성향(%),,,,,,,,
발행주식수(보통주),"3,374,997","3,374,997","3,374,997","3,374,997","6,527,683",,,
