0,1,2,3,4,5,6,7,8
광명전기(산업재),"2016/12
									
(IFRS연결)","2017/12
									
(IFRS연결)","2018/12
									
(IFRS연결)","2019/12
									
(IFRS연결)","2020/12
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)","2022/12(E)
									
(IFRS연결)","2023/12(E)
									
(IFRS연결)"
매출액,969,"1,016","1,126","1,319","1,235",,,
영업이익,36,22,29,81,42,,,
영업이익(발표기준),36,22,29,81,42,,,
세전계속사업이익,54,-21,47,73,59,,,
당기순이익,116,-20,27,71,45,,,
당기순이익(지배),98,-20,26,80,47,,,
당기순이익(비지배),18,-1,1,-9,-1,,,
자산총계,"1,469","1,527","1,518","1,567","1,659",,,
부채총계,488,561,531,513,561,,,
자본총계,981,966,987,"1,054","1,098",,,
자본총계(지배),895,881,901,977,"1,023",,,
자본총계(비지배),79,79,,77,74,,,
자본금,217,217,217,217,217,,,
영업활동현금흐름,45,66,-38,205,53,,,
투자활동현금흐름,-352,-89,-30,-245,-26,,,
재무활동현금흐름,230,54,15,25,3,,,
CAPEX,9,166,27,6,41,,,
FCF,36,-100,-65,199,11,,,
이자발생부채,207,262,276,162,113,,,
영업이익률,3.73,2.16,2.53,6.14,3.43,,,
순이익률,11.96,-2.01,2.42,5.40,3.67,,,
ROE(%),11.75,-2.20,2.93,8.53,4.67,,,
ROA(%),8.33,-1.36,1.79,4.61,2.81,,,
부채비율,49.76,58.01,53.75,48.69,51.10,,,
자본유보율,302.36,294.93,310.12,345.81,367.73,,,
EPS(원),227,-45,60,185,108,,,
PER(배),14.39,N/A,43.53,12.33,18.64,,,
BPS(원),"2,064","2,032","2,078","2,255","2,362",,,
PBR(배),1.58,1.27,1.26,1.01,0.85,,,
현금DPS(원),0,0,0,15,15,,,
현금배당수익률,0.00,0.00,0.00,0.66,0.75,,,
현금배당성향(%),0.00,0.00,0.00,8.11,13.91,,,
발행주식수(보통주),"43,337,615","43,337,615","43,337,615","43,337,615","43,337,615",,,
