0,1,2,3,4,5,6,7,8
동서(필수소비재),"2016/12
									
(IFRS연결)","2017/12
									
(IFRS연결)","2018/12
									
(IFRS연결)","2019/12
									
(IFRS연결)","2020/12
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)","2022/12(E)
									
(IFRS연결)","2023/12(E)
									
(IFRS연결)"
매출액,"5,138","5,591","5,635","5,054","4,930",,,
영업이익,456,477,432,416,451,,,
영업이익(발표기준),456,477,432,416,451,,,
세전계속사업이익,"1,522","1,576","1,538","1,539","1,483",,,
당기순이익,"1,224","1,261","1,204","1,405","1,206",,,
당기순이익(지배),"1,190","1,223","1,166","1,369","1,170",,,
당기순이익(비지배),33,37,38,36,36,,,
자산총계,"13,270","13,877","14,322","14,783","15,258",,,
부채총계,"1,296","1,430","1,420","1,272","1,285",,,
자본총계,"11,974","12,447","12,902","13,510","13,973",,,
자본총계(지배),"11,757","12,202","12,641","13,370","13,819",,,
자본총계(비지배),217,245,261,140,153,,,
자본금,498,498,498,498,498,,,
영업활동현금흐름,"1,065","1,114",954,"1,068",840,,,
투자활동현금흐름,-437,-277,-265,-256,-127,,,
재무활동현금흐름,-682,-786,-776,-854,-718,,,
CAPEX,43,26,21,10,27,,,
FCF,"1,021","1,089",933,"1,057",813,,,
이자발생부채,,0,0,10,7,,,
영업이익률,8.88,8.53,7.67,8.23,9.15,,,
순이익률,23.82,22.55,21.37,27.81,24.46,,,
ROE(%),10.37,10.21,9.39,10.53,8.61,,,
ROA(%),9.47,9.29,8.54,9.66,8.03,,,
부채비율,10.83,11.49,11.01,9.42,9.20,,,
자본유보율,"2,135.36","2,254.33","2,350.12","2,486.87","2,584.24",,,
EPS(원),"1,194","1,227","1,169","1,373","1,174",,,
PER(배),23.07,23.71,15.31,12.67,28.92,,,
BPS(원),"11,843","12,329","12,811","13,550","14,005",,,
PBR(배),2.33,2.36,1.40,1.28,2.42,,,
현금DPS(원),670,700,700,700,700,,,
현금배당수익률,2.43,2.41,3.91,4.02,2.06,,,
현금배당성향(%),55.88,56.63,59.24,50.45,59.02,,,
발행주식수(보통주),"99,700,000","99,700,000","99,700,000","99,700,000","99,700,000",,,
