0,1,2,3,4,5,6,7,8
신일제약(건강관리),"2018/12
									
(IFRS별도)","2019/12
									
(IFRS별도)","2020/12
									
(IFRS별도)","2021/12(E)
									
(IFRS별도)","2021/03
									
(IFRS별도)","2021/06
									
(IFRS별도)","2021/09
									
(IFRS별도)","2021/12(E)
									
(IFRS별도)"
매출액,533,606,614,,133,152,165,
영업이익,60,94,68,,10,21,19,
영업이익(발표기준),60,94,68,,10,21,19,
세전계속사업이익,58,83,82,,11,20,20,
당기순이익,57,73,75,,10,14,17,
당기순이익(지배),57,73,75,,10,14,17,
당기순이익(비지배),,,,,,,,
자산총계,"1,064","1,178","1,248",,"1,251","1,230","1,261",
부채총계,112,166,173,,177,144,157,
자본총계,952,"1,012","1,075",,"1,074","1,086","1,104",
자본총계(지배),952,"1,012","1,075",,"1,074","1,086","1,104",
자본총계(비지배),,,,,,,,
자본금,40,40,55,,55,56,56,
영업활동현금흐름,92,123,111,,28,11,45,
투자활동현금흐름,-88,-99,-86,,-12,-12,-17,
재무활동현금흐름,-9,-12,-13,,0,-12,0,
CAPEX,30,72,84,,18,-4,14,
FCF,62,51,27,,10,15,30,
이자발생부채,0,5,4,,4,3,3,
영업이익률,11.30,15.52,11.10,,7.42,14.04,11.67,
순이익률,10.72,11.97,12.28,,7.26,9.32,10.50,
ROE(%),6.14,7.39,7.23,,6.20,5.07,4.80,
ROA(%),5.47,6.47,6.22,,5.27,4.39,4.15,
부채비율,11.79,16.39,16.12,,16.53,13.26,14.23,
자본유보율,"2,335.19","2,488.61","1,890.38",,"1,888.75","1,858.05","1,888.97",
EPS(원),495,629,654,,83,122,150,
PER(배),13.47,10.79,34.62,,23.58,38.07,30.95,
BPS(원),"8,539","9,083","9,644",,"9,636","9,747","9,903",
PBR(배),0.80,0.77,2.41,,1.42,1.88,1.45,
현금DPS(원),96,103,94,,0,0,0,
현금배당수익률,1.44,1.51,0.42,,,,,
현금배당성향(%),18.39,15.51,13.93,,0.00,0.00,0.00,
발행주식수(보통주),"11,541,464","11,541,464","11,541,464",,"11,541,464","11,541,464","11,541,464",
