0,1,2,3,4,5,6,7,8
신원(경기관련소비재),"2018/12
									
(IFRS연결)","2019/12
									
(IFRS연결)","2020/12
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)","2021/03
									
(IFRS연결)","2021/06
									
(IFRS연결)","2021/09
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)"
매출액,"6,215","6,749","6,943",,"1,878","2,107","2,383",
영업이익,15,90,3,,42,51,61,
영업이익(발표기준),15,90,3,,42,51,61,
세전계속사업이익,-93,3,-97,,66,22,42,
당기순이익,-63,5,-92,,44,3,21,
당기순이익(지배),-58,14,-76,,49,9,25,
당기순이익(비지배),-5,-9,-16,,-5,-5,-5,
자산총계,"4,123","4,034","4,058",,"4,321","4,465","4,932",
부채총계,"2,293","2,019","2,202",,"2,421","2,564","2,894",
자본총계,"1,829","2,016","1,856",,"1,900","1,901","2,039",
자본총계(지배),"1,836","2,020","1,876",,"1,924","1,930","2,071",
자본총계(비지배),,-4,-20,,-24,-29,-33,
자본금,384,426,426,,426,426,454,
영업활동현금흐름,50,301,21,,93,-134,-13,
투자활동현금흐름,3,-84,-49,,-5,-94,-122,
재무활동현금흐름,-11,-272,44,,82,87,215,
CAPEX,44,77,43,,17,32,138,
FCF,6,223,-22,,76,-166,-152,
이자발생부채,"1,445","1,137","1,260",,"1,369","1,471","1,628",
영업이익률,0.24,1.33,0.04,,2.23,2.41,2.56,
순이익률,-1.02,0.08,-1.33,,2.34,0.16,0.87,
ROE(%),-3.31,0.74,-3.91,,-1.33,1.60,1.63,
ROA(%),-1.52,0.13,-2.28,,-1.04,0.23,0.19,
부채비율,125.34,100.13,118.62,,127.39,134.91,141.95,
자본유보율,402.85,392.28,380.74,,392.26,394.27,385.79,
EPS(원),-78,17,-90,,58,10,30,
PER(배),N/A,107.07,N/A,,N/A,53.69,81.70,
BPS(원),"2,640","2,595","2,611",,"2,707","2,732","2,716",
PBR(배),0.71,0.71,0.54,,0.55,0.71,1.17,
현금DPS(원),0,0,0,,0,0,,
현금배당수익률,0.00,0.00,0.00,,,,,
현금배당성향(%),0.00,0.00,0.00,,0.00,,0.00,
발행주식수(보통주),"76,738,152","85,042,499","85,042,499",,"85,042,499","85,042,499","90,656,533",
