0,1,2,3,4,5,6,7,8
동국S&C(소재),"2018/12
									
(IFRS연결)","2019/12
									
(IFRS연결)","2020/12
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)","2021/03
									
(IFRS연결)","2021/06
									
(IFRS연결)","2021/09
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)"
매출액,"3,631","3,178","2,947","3,632",846,"1,130",921,
영업이익,-54,142,107,185,26,90,62,
영업이익(발표기준),-54,142,107,,26,90,62,
세전계속사업이익,-90,136,55,237,49,93,82,
당기순이익,-114,90,38,200,39,83,76,
당기순이익(지배),-67,96,35,146,32,61,51,
당기순이익(비지배),-48,-6,3,,7,22,24,
자산총계,"3,993","4,009","3,970","4,251","4,014","4,252","4,510","4,251"
부채총계,"1,281","1,247","1,221","1,357","1,282","1,436","1,619","1,357"
자본총계,"2,712","2,762","2,749","2,894","2,732","2,816","2,892","2,894"
자본총계(지배),"2,563","2,618","2,602","2,694","2,578","2,640","2,692","2,694"
자본총계(비지배),,144,147,,154,176,200,
자본금,286,286,286,286,286,286,286,286
영업활동현금흐름,-511,137,731,-133,-244,-80,-72,
투자활동현금흐름,187,184,-471,227,148,139,-46,
재무활동현금흐름,29,-213,-120,48,-13,-34,95,
CAPEX,99,21,21,24,3,2,13,
FCF,-610,116,710,-175,-248,-82,-85,
이자발생부채,632,471,413,,400,422,520,
영업이익률,-1.49,4.46,3.62,5.09,3.03,7.93,6.73,
순이익률,-3.15,2.82,1.28,5.51,4.59,7.35,8.21,
ROE(%),-2.55,3.69,1.34,5.51,0.46,1.55,4.00,
ROA(%),-2.73,2.24,0.95,4.87,0.42,1.66,3.67,
부채비율,47.25,45.15,44.43,46.89,46.93,50.99,55.97,46.89
자본유보율,822.83,841.40,835.33,,826.87,848.65,866.46,
EPS(원),-116,167,61,256,55,107,90,
PER(배),N/A,15.41,131.52,22.07,321.32,82.48,32.39,
BPS(원),"4,599","4,698","4,668","4,834","4,626","4,737","4,830","4,834"
PBR(배),0.64,0.55,1.72,1.17,1.47,1.25,1.25,1.17
현금DPS(원),80,100,100,100,,,,
현금배당수익률,2.73,3.88,1.24,1.77,,,,
현금배당성향(%),-67.02,58.36,159.55,39.14,,,0.00,
발행주식수(보통주),"57,143,000","57,143,000","57,143,000",,"57,143,000",,,
