0,1,2,3,4,5,6,7,8
와토스코리아(산업재),"2018/12
									
(IFRS별도)","2019/12
									
(IFRS별도)","2020/12
									
(IFRS별도)","2021/12(E)
									
(IFRS별도)","2021/03
									
(IFRS별도)","2021/06
									
(IFRS별도)","2021/09
									
(IFRS별도)","2021/12(E)
									
(IFRS별도)"
매출액,213,183,183,,47,60,41,
영업이익,20,5,2,,-2,8,-7,
영업이익(발표기준),20,5,2,,-2,8,-7,
세전계속사업이익,34,21,17,,1,14,-4,
당기순이익,29,18,15,,1,11,-3,
당기순이익(지배),29,18,15,,1,11,-3,
당기순이익(비지배),,,,,,,,
자산총계,768,771,773,,776,778,775,
부채총계,32,31,32,,49,41,40,
자본총계,736,739,740,,727,737,735,
자본총계(지배),736,739,740,,727,737,735,
자본총계(비지배),,,,,,,,
자본금,36,36,36,,36,36,36,
영업활동현금흐름,51,17,32,,6,7,10,
투자활동현금흐름,13,-1,-9,,-5,11,2,
재무활동현금흐름,-13,-15,-14,,0,-14,0,
CAPEX,7,4,3,,1,,2,
FCF,44,12,29,,6,7,8,
이자발생부채,0,6,7,,7,7,7,
영업이익률,9.42,2.76,0.86,,-3.23,12.62,-17.12,
순이익률,13.63,9.84,7.94,,2.82,18.79,-8.03,
ROE(%),3.98,2.44,1.97,,1.96,2.74,2.14,
ROA(%),3.82,2.34,1.88,,1.84,2.61,2.04,
부채비율,4.29,4.23,4.35,,6.71,5.52,5.46,
자본유보율,"1,944.68","1,954.08","1,956.77",,"1,920.46","1,948.43","1,942.39",
EPS(원),403,250,202,,18,156,-46,
PER(배),14.19,22.12,27.13,,39.59,27.83,34.56,
BPS(원),"10,224","10,271","10,285",,"10,103","10,243","10,213",
PBR(배),0.56,0.54,0.53,,0.78,0.77,0.75,
현금DPS(원),200,200,200,,,,,
현금배당수익률,3.50,3.61,3.65,,,,,
현금배당성향(%),49.60,79.85,99.01,,0.00,0.00,0.00,
발행주식수(보통주),"7,200,000","7,200,000","7,200,000",,"7,200,000","7,200,000",,
