0,1,2,3,4,5,6,7,8
이엔에프테크놀로지(소재),"2018/12
									
(IFRS연결)","2019/12
									
(IFRS연결)","2020/12
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)","2021/03
									
(IFRS연결)","2021/06
									
(IFRS연결)","2021/09
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)"
매출액,"4,254","4,810","4,866",,"1,157","1,212","1,374",
영업이익,356,596,682,,47,54,132,
영업이익(발표기준),356,596,682,,47,54,132,
세전계속사업이익,382,592,634,,62,49,158,
당기순이익,290,467,474,,52,10,119,
당기순이익(지배),288,461,462,,53,10,120,
당기순이익(비지배),2,6,12,,-1,0,-1,
자산총계,"3,107","3,862","4,635",,"4,749","5,033","5,369",
부채총계,865,"1,172","1,490",,"1,542","1,811","1,989",
자본총계,"2,242","2,690","3,145",,"3,207","3,221","3,380",
자본총계(지배),"2,217","2,659","3,095",,"3,158","3,149","3,306",
자본총계(비지배),,31,49,,50,72,74,
자본금,71,71,71,,71,71,71,
영업활동현금흐름,307,612,740,,-99,155,112,
투자활동현금흐름,-458,-475,-877,,-151,-190,-140,
재무활동현금흐름,127,-24,382,,51,256,61,
CAPEX,444,496,856,,152,157,182,
FCF,-136,117,-116,,-251,-2,-70,
이자발생부채,388,516,884,,955,"1,234","1,330",
영업이익률,8.37,12.40,14.01,,4.05,4.47,9.60,
순이익률,6.82,9.71,9.75,,4.50,0.80,8.66,
ROE(%),14.05,18.90,16.06,,13.00,8.55,6.97,
ROA(%),10.08,13.41,11.16,,9.02,5.68,4.49,
부채비율,38.56,43.56,47.38,,48.07,56.23,58.84,
자본유보율,"3,034.36","3,648.42","4,259.24",,"4,300.89","4,313.68","4,482.34",
EPS(원),"2,026","3,239","3,245",,373,70,837,
PER(배),6.20,8.83,14.68,,14.62,19.59,19.62,
BPS(원),"15,585","18,688","21,710",,"22,102","22,042","23,141",
PBR(배),0.81,1.53,2.19,,1.79,1.62,1.32,
현금DPS(원),100,150,150,,,,,
현금배당수익률,0.80,0.52,0.31,,,,,
현금배당성향(%),4.94,4.63,4.63,,0.00,,0.00,
발행주식수(보통주),"14,227,836","14,227,836","14,257,836",,"14,287,836","14,287,836","14,287,836",
