0,1,2,3,4,5,6,7,8
RFHIC(IT),"2018/12
									
(IFRS연결)","2019/12
									
(IFRS연결)","2020/12
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)","2021/03
									
(IFRS연결)","2021/06
									
(IFRS연결)","2021/09
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)"
매출액,"1,081","1,078",705,"1,027",214,300,191,322
영업이익,267,179,-30,56,1,28,-1,28
영업이익(발표기준),267,179,-30,,1,28,-1,
세전계속사업이익,272,203,5,72,-2,37,4,29
당기순이익,254,202,16,67,-3,40,0,25
당기순이익(지배),241,200,20,71,-3,38,1,32
당기순이익(비지배),13,2,-5,,0,1,-1,
자산총계,"2,343","2,602","3,123","3,497","3,420","3,685","4,559","3,497"
부채총계,706,447,952,"1,230","1,218","1,409","1,459","1,230"
자본총계,"1,637","2,156","2,171","2,267","2,203","2,276","3,101","2,267"
자본총계(지배),"1,566","1,991","1,970","2,038","1,999","2,026","2,820","2,038"
자본총계(비지배),,165,201,,203,250,280,
자본금,112,119,119,119,119,119,133,119
영업활동현금흐름,481,271,-242,137,43,90,80,
투자활동현금흐름,-296,-83,"-1,126",-106,-316,-100,-963,
재무활동현금흐름,260,102,547,222,287,50,793,
CAPEX,75,89,264,104,19,27,15,
FCF,406,181,-506,-38,24,63,65,
이자발생부채,329,130,691,,935,966,953,
영업이익률,24.71,16.64,-4.25,5.49,0.33,9.46,-0.71,8.80
순이익률,23.50,18.71,2.23,6.49,-1.37,13.23,0.16,7.76
ROE(%),17.21,11.22,1.02,3.54,-0.35,1.94,3.61,
ROA(%),13.05,8.15,0.55,2.01,-0.41,1.23,2.33,
부채비율,43.10,20.72,43.84,54.26,55.28,61.89,47.04,54.26
자본유보율,"1,290.20","1,563.20","1,590.26",,"1,612.36","1,635.59","2,073.75",
EPS(원),"1,054",835,83,279,-13,156,4,120
PER(배),22.78,43.04,526.87,111.13,N/A,250.58,91.09,
BPS(원),"6,802","8,145","8,109","7,763","8,228","8,339","10,690","7,763"
PBR(배),3.53,4.41,5.37,3.99,4.52,4.76,2.91,3.99
현금DPS(원),195,195,98,99,0,0,0,
현금배당수익률,0.81,0.54,0.22,0.32,,,,
현금배당성향(%),18.65,23.89,117.16,37.05,0.00,0.00,0.00,
발행주식수(보통주),"23,018,893","24,450,673","24,456,332",,"24,456,332","24,456,332","26,647,620",
