0,1,2,3,4,5,6,7,8
셀트리온제약(건강관리),"2018/12
									
(IFRS연결)","2019/12
									
(IFRS연결)","2020/12
									
(IFRS연결)","2021/12(E)
									
(IFRS별도)","2021/03
									
(IFRS연결)","2021/06
									
(IFRS별도)","2021/09
									
(IFRS별도)","2021/12(E)
									
(IFRS별도)"
매출액,"1,469","1,735","2,336",,856,987,909,
영업이익,36,147,236,,96,166,130,
영업이익(발표기준),36,147,236,,96,166,130,
세전계속사업이익,-63,88,201,,84,157,115,
당기순이익,-94,86,209,,73,132,89,
당기순이익(지배),-94,86,209,,73,132,89,
당기순이익(비지배),,,,,,,,
자산총계,"4,524","4,710","5,481",,"5,729","5,627","5,979",
부채총계,"1,824","1,909","2,475",,"2,701","2,458","2,715",
자본총계,"2,700","2,800","3,006",,"3,028","3,169","3,264",
자본총계(지배),"2,700","2,800","3,006",,"3,028","3,169","3,264",
자본총계(비지배),,,,,,,,
자본금,170,170,179,,183,183,183,
영업활동현금흐름,143,279,362,,115,238,292,
투자활동현금흐름,-73,-345,-449,,-86,3,-34,
재무활동현금흐름,-35,83,236,,-30,-98,-47,
CAPEX,72,305,420,,36,31,9,
FCF,71,-26,-57,,78,207,283,
이자발생부채,"1,470","1,619","1,930",,"1,918","1,879","1,846",
영업이익률,2.43,8.49,10.12,,11.27,16.84,14.31,
순이익률,-6.39,4.96,8.96,,8.55,13.41,9.82,
ROE(%),-3.33,3.13,7.21,,8.91,11.74,13.08,
ROA(%),-2.04,1.86,4.11,,4.91,6.65,7.16,
부채비율,67.55,68.19,82.35,,89.23,77.54,83.17,
자본유보율,"1,483.46","1,534.97","1,577.60",,"1,584.83","1,662.79","1,712.03",
EPS(원),-250,229,557,,194,352,237,
PER(배),N/A,165.66,416.35,,210.51,162.38,132.68,
BPS(원),"7,191","7,452","7,998",,"8,064","8,437","8,688",
PBR(배),8.25,5.24,29.83,,18.60,18.63,16.84,
현금DPS(원),0,0,0,,0,0,0,
현금배당수익률,0.00,0.00,0.00,,,,,
현금배당성향(%),0.00,0.00,0.00,,0.00,0.00,0.00,
발행주식수(보통주),"37,574,616","37,600,207","37,619,548",,"37,620,301","37,640,331","37,642,709",
