0,1,2,3,4,5,6,7,8
엘비세미콘(IT),"2018/12
									
(IFRS연결)","2019/12
									
(IFRS연결)","2020/12
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)","2021/03
									
(IFRS연결)","2021/06
									
(IFRS연결)","2021/09
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)"
매출액,"2,757","3,904","4,428","4,942","1,139","1,216","1,294","1,293"
영업이익,274,504,428,567,106,124,165,172
영업이익(발표기준),274,504,428,,106,124,165,
세전계속사업이익,247,459,384,528,116,112,157,160
당기순이익,188,365,316,476,109,116,131,
당기순이익(지배),153,326,271,408,94,105,101,108
당기순이익(비지배),35,40,46,,15,12,30,
자산총계,"3,794","4,786","5,275","6,130","6,035","6,597","6,735","6,130"
부채총계,"2,272","2,893","3,092","3,093","3,764","3,409","3,426","3,093"
자본총계,"1,522","1,893","2,183","3,037","2,271","3,188","3,309","3,037"
자본총계(지배),"1,166","1,497","1,741","2,253","1,813","2,155","2,248","2,253"
자본총계(비지배),,396,441,,458,"1,033","1,061",
자본금,219,219,219,220,219,219,219,220
영업활동현금흐름,685,961,795,"1,176",325,211,275,
투자활동현금흐름,"-1,272",-986,-805,"-1,202",-496,-389,-782,
재무활동현금흐름,468,187,166,285,319,681,7,
CAPEX,816,"1,067",865,"1,190",488,374,300,
FCF,-131,-106,-70,188,-162,-163,-24,
이자발생부채,"1,609","1,973","2,328",,"2,653","2,536","2,579",
영업이익률,9.96,12.92,9.66,11.47,9.34,10.20,12.76,13.26
순이익률,6.81,9.36,7.14,9.64,9.54,9.57,10.14,
ROE(%),,24.47,16.71,20.43,18.73,20.56,21.68,
ROA(%),,8.52,6.29,8.36,6.78,7.64,8.35,
부채비율,149.26,152.83,141.67,101.84,165.70,106.94,103.52,101.84
자본유보율,432.51,572.49,684.15,,716.84,873.07,915.53,
EPS(원),349,744,618,932,215,240,232,247
PER(배),11.70,10.48,23.87,12.50,19.25,15.47,12.72,
BPS(원),"2,663","3,419","3,977","5,146","4,141","4,922","5,134","5,146"
PBR(배),1.53,2.28,3.71,2.26,3.32,2.74,2.38,2.26
현금DPS(원),0,50,50,50,,,,
현금배당수익률,0.00,0.64,0.34,0.43,,,,
현금배당성향(%),0.00,6.72,8.09,5.37,0.00,,0.00,
발행주식수(보통주),"43,784,592","43,784,592","43,784,592",,"43,784,592","43,784,592",,
