0,1,2,3,4,5,6,7,8
쏠리드(IT),"2018/12
									
(IFRS연결)","2019/12
									
(IFRS연결)","2020/12
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)","2021/03
									
(IFRS연결)","2021/06
									
(IFRS연결)","2021/09
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)"
매출액,"2,226","2,293","1,729","1,815",325,435,441,614
영업이익,11,-35,-169,-62,-43,-15,-12,8
영업이익(발표기준),11,-35,-169,,-43,-15,-12,
세전계속사업이익,98,6,-150,-53,-36,-35,14,4
당기순이익,112,54,-119,-68,-51,-37,14,
당기순이익(지배),91,57,-115,-66,-49,-37,14,4
당기순이익(비지배),21,-3,-3,,-1,,,
자산총계,"2,694","2,838","2,815","3,222","2,742","3,218","3,279","3,222"
부채총계,"1,591","1,601","1,697","1,738","1,673","1,752","1,772","1,738"
자본총계,"1,103","1,236","1,118","1,484","1,070","1,466","1,507","1,484"
자본총계(지배),"1,086","1,226","1,111","1,484","1,070","1,466","1,507","1,484"
자본총계(비지배),,10,7,,,,,
자본금,249,261,261,300,261,300,301,300
영업활동현금흐름,-108,202,-58,-47,-145,-46,-165,
투자활동현금흐름,21,49,5,-180,-14,-100,-31,
재무활동현금흐름,-58,-6,109,495,12,482,-37,
CAPEX,20,36,23,,14,86,7,
FCF,-128,166,-81,-197,-159,-131,-173,
이자발생부채,698,711,838,,840,894,824,
영업이익률,0.48,-1.54,-9.79,-3.42,-13.33,-3.35,-2.62,1.30
순이익률,5.04,2.36,-6.86,-3.75,-15.57,-8.48,3.08,
ROE(%),9.48,4.97,-9.87,-5.09,-13.99,-10.75,-7.46,
ROA(%),4.08,1.96,-4.20,-2.25,-5.90,-4.71,-3.31,
부채비율,144.21,129.52,151.79,117.12,156.39,119.57,117.63,117.12
자본유보율,331.12,358.97,314.79,,295.88,376.45,384.07,
EPS(원),182,109,-214,-115,-92,-68,23,7
PER(배),17.36,48.42,N/A,N/A,N/A,N/A,N/A,
BPS(원),"2,140","2,292","2,077","2,439","2,000","2,458","2,515","2,439"
PBR(배),1.48,2.30,5.25,2.43,4.40,3.06,2.75,2.43
현금DPS(원),0,0,0,0,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,,,,
현금배당성향(%),2.75,0.00,0.00,,,,0.00,
발행주식수(보통주),"39,628,588","53,858,096","53,858,096",,"53,858,096","60,000,000","60,280,977",
