0,1,2,3,4,5,6,7,8
유니온머티리얼(경기관련소비재),"2018/12
									
(IFRS연결)","2019/12
									
(IFRS연결)","2020/12
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)","2021/03
									
(IFRS연결)","2021/06
									
(IFRS연결)","2021/09
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)"
매출액,"1,123","1,068",935,,285,303,293,
영업이익,5,38,1,,2,-14,-1,
영업이익(발표기준),5,38,1,,2,-14,-1,
세전계속사업이익,-117,38,-19,,16,-13,15,
당기순이익,-89,23,-14,,13,-16,13,
당기순이익(지배),-88,23,-13,,13,-16,13,
당기순이익(비지배),-1,-1,0,,,,,
자산총계,"1,443","1,749","1,845",,"1,792","1,757","1,849",
부채총계,657,888,"1,013",,953,936,"1,013",
자본총계,785,861,832,,838,821,835,
자본총계(지배),782,859,832,,838,821,835,
자본총계(비지배),,2,,,,,,
자본금,210,210,210,,210,210,210,
영업활동현금흐름,-2,66,58,,2,32,-12,
투자활동현금흐름,-105,-282,-78,,50,-9,-5,
재무활동현금흐름,121,223,105,,-52,-42,46,
CAPEX,94,174,121,,9,9,5,
FCF,-96,-108,-63,,-8,24,-17,
이자발생부채,364,529,636,,596,565,623,
영업이익률,0.43,3.54,0.10,,0.65,-4.49,-0.48,
순이익률,-7.91,2.13,-1.47,,4.45,-5.38,4.55,
ROE(%),-10.41,2.83,-1.59,,-2.80,-3.50,-0.67,
ROA(%),-6.24,1.42,-0.77,,-1.31,-1.63,-0.31,
부채비율,83.70,103.05,121.77,,113.69,113.93,121.30,
자본유보율,308.57,308.55,296.58,,298.60,290.83,297.00,
EPS(원),-209,55,-32,,30,-39,32,
PER(배),N/A,42.61,N/A,,N/A,N/A,N/A,
BPS(원),"1,997","2,045","1,980",,"1,996","1,955","1,989",
PBR(배),0.91,1.15,1.97,,2.04,2.05,1.50,
현금DPS(원),35,50,20,,,,,
현금배당수익률,1.93,2.12,0.51,,,,,
현금배당성향(%),-15.59,90.27,-62.46,,0.00,,0.00,
발행주식수(보통주),"42,000,000","42,000,000","42,000,000",,"42,000,000",,,
