0,1,2,3,4,5,6,7,8
세원물산(경기관련소비재),"2018/12
									
(IFRS별도)","2019/12
									
(IFRS별도)","2020/12
									
(IFRS별도)","2021/12(E)
									
(IFRS별도)","2021/03
									
(IFRS별도)","2021/06
									
(IFRS별도)","2021/09
									
(IFRS별도)","2021/12(E)
									
(IFRS별도)"
매출액,869,"1,153","1,558",,447,630,382,
영업이익,31,126,140,,24,74,-3,
영업이익(발표기준),31,126,140,,24,74,-3,
세전계속사업이익,63,161,161,,39,122,8,
당기순이익,58,131,184,,46,97,9,
당기순이익(지배),58,131,184,,46,97,9,
당기순이익(비지배),,,,,,,,
자산총계,"2,430","2,840","3,179",,"3,254","3,131","3,058",
부채총계,673,950,"1,110",,"1,142",922,840,
자본총계,"1,757","1,891","2,069",,"2,112","2,209","2,218",
자본총계(지배),"1,757","1,891","2,069",,"2,112","2,209","2,218",
자본총계(비지배),,,,,,,,
자본금,42,42,42,,42,42,42,
영업활동현금흐름,121,398,834,,86,200,-95,
투자활동현금흐름,-55,-398,-612,,-68,-223,23,
재무활동현금흐름,-44,6,-71,,-2,0,,
CAPEX,332,422,664,,68,150,173,
FCF,-211,-24,169,,18,50,-268,
이자발생부채,57,68,0,,0,0,0,
영업이익률,3.52,10.94,8.96,,5.44,11.69,-0.76,
순이익률,6.69,11.39,11.79,,10.25,15.34,2.47,
ROE(%),3.21,7.20,9.28,,10.34,12.20,11.04,
ROA(%),2.34,4.98,6.10,,6.72,8.53,7.69,
부채비율,38.27,50.23,53.67,,54.04,41.76,37.85,
자본유보율,"3,486.18","3,773.67","4,183.22",,"4,287.93","4,519.27","4,541.79",
EPS(원),696,"1,572","2,199",,549,"1,158",113,
PER(배),7.41,4.00,2.86,,2.52,2.06,2.26,
BPS(원),"21,048","22,641","24,775",,"25,299","26,455","26,568",
PBR(배),0.25,0.28,0.25,,0.25,0.24,0.24,
현금DPS(원),50,25,25,,0,0,0,
현금배당수익률,0.97,0.40,0.40,,,,,
현금배당성향(%),7.18,1.59,1.14,,0.00,0.00,0.00,
발행주식수(보통주),"8,350,000","8,350,000","8,350,000",,"8,350,000","8,350,000",,
