0,1,2,3,4,5,6,7,8
풍산(소재),"2018/12
									
(IFRS연결)","2019/12
									
(IFRS연결)","2020/12
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)","2021/03
									
(IFRS연결)","2021/06
									
(IFRS연결)","2021/09
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)"
매출액,"27,745","24,513","25,936","35,370","7,252","9,234","8,848","10,055"
영업이익,"1,075",411,"1,212","3,209",624,"1,065",808,710
영업이익(발표기준),"1,075",411,"1,212",,624,"1,065",808,
세전계속사업이익,874,263,990,"3,159",581,"1,040",860,681
당기순이익,621,176,719,"2,371",455,808,614,488
당기순이익(지배),620,176,719,"2,371",455,807,614,487
당기순이익(비지배),1,0,0,,0,1,0,
자산총계,"26,681","25,625","25,520","29,883","27,424","28,840","30,256","29,883"
부채총계,"12,888","11,787","11,056","13,174","12,598","13,224","13,929","13,174"
자본총계,"13,793","13,838","14,464","16,708","14,825","15,616","16,327","16,708"
자본총계(지배),"13,772","13,818","14,444","16,687","14,805","15,595","16,306","16,687"
자본총계(비지배),,20,20,,21,21,21,
자본금,"1,401","1,401","1,401","1,400","1,401","1,401","1,401","1,400"
영업활동현금흐름,812,"2,017","1,145",416,-171,-423,274,
투자활동현금흐름,-751,-568,-538,-937,-283,-216,-367,
재무활동현금흐름,-85,"-1,359",-464,"1,092",605,854,212,
CAPEX,738,612,500,769,160,148,364,
FCF,74,"1,404",645,-525,-332,-571,-89,
이자발생부채,"9,253","8,200","7,537",,"8,223","9,072","9,399",
영업이익률,3.88,1.68,4.67,9.07,8.61,11.53,9.13,7.06
순이익률,2.24,0.72,2.77,6.70,6.27,8.75,6.94,4.85
ROE(%),4.62,1.28,5.09,15.23,8.45,13.14,14.55,
ROA(%),2.30,0.67,2.81,8.56,4.50,7.21,7.91,
부채비율,93.44,85.18,76.44,78.85,84.98,84.68,85.31,78.85
자본유보율,882.96,875.74,931.30,,952.22,"1,010.19","1,053.88",
EPS(원),"2,212",629,"2,565","8,459","1,622","2,880","2,192","1,739"
PER(배),12.36,37.86,10.89,3.66,7.79,5.53,4.22,
BPS(원),"49,164","49,327","51,561","59,569","52,851","55,670","58,210","59,569"
PBR(배),0.56,0.48,0.54,0.52,0.63,0.69,0.57,0.52
현금DPS(원),600,400,600,718,0,0,0,
현금배당수익률,2.19,1.68,2.15,2.32,,,,
현금배당성향(%),27.11,63.60,23.38,8.49,0.00,0.00,0.00,
발행주식수(보통주),"28,024,278","28,024,278","28,024,278",,"28,024,278",,,
