0,1,2,3,4,5,6,7,8
이삭엔지니어링(IT),"2018/12
									
(IFRS연결)","2019/12
									
(IFRS연결)","2020/12
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)","2021/03
									
(IFRS연결)","2021/06
									
(IFRS연결)","2021/09
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)"
매출액,416,328,448,352,,102,85,
영업이익,66,33,53,-32,,11,-17,
영업이익(발표기준),66,33,53,,,11,-17,
세전계속사업이익,61,30,52,-33,,-20,-17,
당기순이익,53,27,47,-32,,-21,-13,
당기순이익(지배),53,27,47,-32,,-21,-13,
당기순이익(비지배),,,,,,,,
자산총계,286,341,327,279,,537,535,279
부채총계,183,212,149,132,,85,96,132
자본총계,103,129,179,147,,452,439,147
자본총계(지배),103,129,179,147,,452,439,147
자본총계(비지배),,,,,,,,
자본금,2,2,2,2,,41,41,2
영업활동현금흐름,31,75,-17,8,,,-22,
투자활동현금흐름,-27,-8,0,-6,,,-10,
재무활동현금흐름,-3,-4,-5,-5,,,-1,
CAPEX,24,2,2,10,,,1,
FCF,7,73,-19,-1,,0,-23,
이자발생부채,97,70,68,,,40,40,
영업이익률,15.93,10.21,11.81,-9.09,,10.46,-20.52,
순이익률,12.80,8.18,10.49,-9.09,,-20.68,-15.81,
ROE(%),,23.02,30.54,-19.65,,,,
ROA(%),,8.54,14.07,-10.55,,,,
부채비율,176.56,163.91,83.23,89.80,,18.83,21.92,89.80
자본유보율,"5,083.21","6,372.80","8,030.94",,,990.77,958.34,
EPS(원),952,461,770,-417,,-265,-162,
PER(배),,,,N/A,,,,
BPS(원),"1,848","2,124","2,917","1,774",,"5,452","5,292","1,774"
PBR(배),0.00,0.00,0.00,7.05,,3.00,2.65,7.05
현금DPS(원),18,"2,500",0,0,0,,,
현금배당수익률,,,,0.00,,,,
현금배당성향(%),1.88,3.73,0.00,,,,0.00,
발행주식수(보통주),"5,600,000","5,600,000","5,640,000",,"5,640,000","8,288,520","8,288,520",
