0,1,2,3,4,5,6,7,8
삼양패키징(소재),"2018/12
									
(IFRS별도)","2019/12
									
(IFRS별도)","2020/12
									
(IFRS별도)","2021/12(E)
									
(IFRS별도)","2021/03
									
(IFRS별도)","2021/06
									
(IFRS별도)","2021/09
									
(IFRS별도)","2021/12(E)
									
(IFRS별도)"
매출액,"3,663","3,754","3,676",,821,"1,089","1,131",
영업이익,350,416,523,,58,210,190,
영업이익(발표기준),350,416,523,,58,210,190,
세전계속사업이익,275,360,385,,49,198,181,
당기순이익,214,284,323,,38,167,138,
당기순이익(지배),214,284,323,,38,167,138,
당기순이익(비지배),,,,,,,,
자산총계,"5,460","5,639","5,645",,"5,712","5,796","6,307",
부채총계,"2,805","2,776","2,568",,"2,739","2,656","3,029",
자본총계,"2,654","2,862","3,077",,"2,973","3,140","3,278",
자본총계(지배),"2,654","2,862","3,077",,"2,973","3,140","3,278",
자본총계(비지배),,,,,,,,
자본금,710,710,710,,710,710,710,
영업활동현금흐름,425,618,732,,-49,176,272,
투자활동현금흐름,-706,-261,-263,,-150,-50,-641,
재무활동현금흐름,199,-169,-365,,-9,-159,344,
CAPEX,704,259,136,,160,51,22,
FCF,-279,359,596,,-208,126,250,
이자발생부채,"2,178","2,188","1,948",,"1,943","1,927","2,275",
영업이익률,9.56,11.08,14.22,,7.02,19.27,16.78,
순이익률,5.85,7.56,8.79,,4.65,15.30,12.21,
ROE(%),8.38,10.29,10.88,,11.88,12.08,10.12,
ROA(%),4.11,5.12,5.72,,6.03,6.37,5.29,
부채비율,105.69,97.00,83.44,,92.10,84.61,92.41,
자본유보율,273.59,302.85,333.14,,318.49,341.91,361.33,
EPS(원),"1,507","1,998","2,273",,268,"1,172",972,
PER(배),11.15,7.88,9.35,,10.41,10.82,13.46,
BPS(원),"18,679","20,142","21,657",,"20,924","22,095","23,066",
PBR(배),0.90,0.78,0.98,,1.19,1.26,1.32,
현금DPS(원),500,750,"1,000",,0,0,0,
현금배당수익률,2.98,4.76,4.71,,,,,
현금배당성향(%),33.17,37.55,44.00,,0.00,0.00,0.00,
발행주식수(보통주),"14,209,804","14,209,804","14,209,804",,"14,209,804","14,209,804","14,209,804",
