0,1,2,3,4,5,6,7,8
이녹스첨단소재(IT),"2018/12
									
(IFRS연결)","2019/12
									
(IFRS연결)","2020/12
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)","2021/03
									
(IFRS연결)","2021/06
									
(IFRS연결)","2021/09
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)"
매출액,"2,931","3,493","3,363","4,818",960,"1,084","1,407","1,366"
영업이익,383,465,438,944,136,199,308,300
영업이익(발표기준),383,465,438,,136,199,308,
세전계속사업이익,379,452,322,954,142,203,323,279
당기순이익,305,345,252,772,111,192,256,250
당기순이익(지배),305,345,252,773,111,192,256,171
당기순이익(비지배),,,,,,,,
자산총계,"3,012","3,374","3,186","4,375","3,774","4,091","4,458","4,375"
부채총계,"1,545","1,568","1,161","1,453","1,601","1,695","1,614","1,453"
자본총계,"1,467","1,806","2,025","2,922","2,173","2,396","2,844","2,922"
자본총계(지배),"1,467","1,806","2,025","2,922","2,173","2,396","2,844","2,922"
자본총계(비지배),,,,,,,,
자본금,45,46,48,85,49,49,98,85
영업활동현금흐름,514,444,328,688,-21,52,197,
투자활동현금흐름,-438,-593,127,-174,-70,-42,-67,
재무활동현금흐름,451,-79,-405,189,432,16,-11,
CAPEX,416,188,175,170,62,42,40,
FCF,98,256,154,518,-83,10,156,
이자발생부채,"1,069","1,064",717,,"1,118","1,109",942,
영업이익률,13.07,13.31,13.04,19.61,14.18,18.38,21.87,21.94
순이익률,10.39,9.89,7.50,16.02,11.56,17.72,18.17,18.29
ROE(%),22.40,21.10,13.17,31.24,15.54,22.26,25.09,
ROA(%),11.62,10.82,7.69,20.42,8.27,12.15,14.81,
부채비율,105.33,86.79,57.36,49.71,73.65,70.72,56.76,49.71
자본유보율,"3,382.03","4,022.07","4,438.30",,"4,606.14","4,997.00","2,750.75",
EPS(원),"1,559","1,767","1,290","3,943",568,982,"1,302",869
PER(배),11.43,14.73,17.67,12.81,17.64,13.56,12.46,
BPS(원),"7,583","9,350","10,568","14,938","11,348","12,408","14,538","14,938"
PBR(배),2.35,2.78,2.16,3.38,2.46,2.64,2.64,3.38
현금DPS(원),0,0,0,2,0,0,0,
현금배당수익률,0.00,0.00,0.00,0.00,0.00,0.00,,
현금배당성향(%),0.00,0.00,0.00,0.05,0.00,0.00,0.00,
발행주식수(보통주),"19,551,658","19,551,658","19,551,658",,"19,551,658","19,641,658","19,641,658",
