0,1,2,3,4,5,6,7,8
KPX홀딩스(소재),"2018/12
									
(IFRS연결)","2019/12
									
(IFRS연결)","2020/12
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)","2021/03
									
(IFRS연결)","2021/06
									
(IFRS연결)","2021/09
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)"
매출액,"10,224","9,727","9,532",,"2,834","3,126","3,071",
영업이익,338,634,791,,170,148,91,
영업이익(발표기준),338,634,791,,170,148,91,
세전계속사업이익,269,981,889,,101,621,210,
당기순이익,147,758,"1,941",,60,503,159,
당기순이익(지배),37,343,"1,405",,-21,336,108,
당기순이익(비지배),111,414,535,,81,166,51,
자산총계,"14,166","14,490","16,987",,"17,562","18,109","18,006",
부채총계,"2,907","2,677","3,619",,"4,319","4,450","4,290",
자본총계,"11,259","11,813","13,367",,"13,243","13,659","13,716",
자본총계(지배),"6,058","6,315","7,742",,"7,640","7,919","8,061",
자본총계(비지배),,"5,498","5,625",,"5,602","5,739","5,654",
자본금,211,211,211,,211,211,211,
영업활동현금흐름,434,905,896,,-154,-496,459,
투자활동현금흐름,"-1,164",-536,339,,-228,522,-576,
재무활동현금흐름,343,-315,-124,,153,280,-397,
CAPEX,609,524,362,,129,123,241,
FCF,-175,381,534,,-283,-620,218,
이자발생부채,"1,256","1,201","1,371",,"1,535","2,161","1,914",
영업이익률,3.31,6.52,8.30,,6.01,4.72,2.97,
순이익률,1.44,7.79,20.36,,2.11,16.08,5.16,
ROE(%),0.60,5.55,20.00,,19.66,18.38,19.16,
ROA(%),1.01,5.29,12.33,,11.79,10.50,10.75,
부채비율,25.82,22.66,27.08,,32.62,32.58,31.27,
자본유보율,"2,781.04","2,894.92","3,571.67",,"3,513.34","3,693.69","3,756.35",
EPS(원),871,"8,130","33,268",,-499,"7,958","2,547",
PER(배),70.23,6.69,1.82,,1.86,2.28,2.00,
BPS(원),"148,271","154,553","189,480",,"186,993","201,449","205,062",
PBR(배),0.41,0.35,0.32,,0.32,0.36,0.32,
현금DPS(원),"2,600","2,600","3,100",,0,750,,
현금배당수익률,4.25,4.78,5.13,,,,,
현금배당성향(%),288.57,30.93,9.01,,0.00,8.77,0.00,
발행주식수(보통주),"4,224,646","4,224,646","4,224,646",,"4,224,646",,,
