0,1,2,3,4,5,6,7,8
마니커에프앤지(필수소비재),"2018/12
									
(IFRS별도)","2019/12
									
(IFRS별도)","2020/12
									
(IFRS별도)","2021/12(E)
									
(IFRS별도)","2021/03
									
(IFRS별도)","2021/06
									
(IFRS별도)","2021/09
									
(IFRS별도)","2021/12(E)
									
(IFRS별도)"
매출액,994,998,923,868,208,221,215,223
영업이익,62,44,37,13,7,3,-2,5
영업이익(발표기준),62,44,37,,7,3,-2,
세전계속사업이익,53,39,33,11,6,2,-2,5
당기순이익,41,29,33,9,5,2,-2,4
당기순이익(지배),41,29,33,9,5,2,-2,4
당기순이익(비지배),,,,,,,,
자산총계,528,585,866,,916,"1,040","1,042",
부채총계,293,218,454,,499,386,390,
자본총계,235,367,412,,417,654,652,
자본총계(지배),235,367,412,,417,654,652,
자본총계(비지배),,,,,,,,
자본금,38,52,54,,54,79,79,
영업활동현금흐름,15,83,38,,23,6,49,
투자활동현금흐름,-17,-35,-198,,-2,-136,-125,
재무활동현금흐름,4,42,256,,35,126,0,
CAPEX,22,32,120,,3,5,15,
FCF,-6,50,-82,,20,0,34,
이자발생부채,133,75,326,,362,253,253,
영업이익률,6.25,4.38,4.01,1.50,3.20,1.41,-0.90,2.24
순이익률,4.10,2.95,3.58,1.04,2.37,0.84,-0.78,1.79
ROE(%),18.89,9.78,8.48,,8.07,4.94,3.45,
ROA(%),7.96,5.29,4.55,,4.04,2.92,1.88,
부채비율,124.70,59.46,110.29,,119.88,59.01,59.79,
자본유보율,483.43,586.58,645.03,,654.22,715.88,713.77,
EPS(원),471,300,276,64,41,14,-11,25
PER(배),,24.40,26.84,72.67,24.47,31.31,36.16,
BPS(원),"2,718","3,145","3,402",,"3,443","4,146","4,136",
PBR(배),0.00,2.33,2.18,,1.88,1.58,1.20,
현금DPS(원),0,0,0,,0,0,0,
현금배당수익률,,0.00,0.00,,,,,
현금배당성향(%),0.00,0.00,0.00,,,,0.00,
발행주식수(보통주),"8,653,453","11,663,056","12,101,348",,"12,101,348","15,768,000","15,768,000",
