0,1,2,3,4,5,6,7,8
케이엠더블유(IT),"2018/12
									
(IFRS연결)","2019/12
									
(IFRS연결)","2020/12
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)","2021/03
									
(IFRS연결)","2021/06
									
(IFRS연결)","2021/09
									
(IFRS연결)","2021/12(E)
									
(IFRS연결)"
매출액,"2,963","6,829","3,385","2,339",787,462,362,727
영업이익,-262,"1,378",327,-165,7,-83,-92,4
영업이익(발표기준),-262,"1,378",327,,7,-83,-92,
세전계속사업이익,-298,"1,305",242,53,50,34,-34,
당기순이익,-313,"1,037",266,42,76,-2,-36,
당기순이익(지배),-313,"1,037",266,42,76,-2,-36,
당기순이익(비지배),,,,,,,,
자산총계,"2,735","4,270","3,878","3,987","3,812","3,756","3,786","3,987"
부채총계,"1,873","2,093","1,438","1,476","1,271","1,213","1,236","1,476"
자본총계,862,"2,178","2,440","2,511","2,541","2,544","2,550","2,511"
자본총계(지배),862,"2,178","2,440","2,511","2,541","2,544","2,550","2,511"
자본총계(비지배),,,,,,,,
자본금,94,199,199,199,199,199,199,199
영업활동현금흐름,-374,-36,"1,203",-108,148,166,157,
투자활동현금흐름,-219,-178,-175,-130,-444,393,-28,
재무활동현금흐름,901,175,-203,-55,-62,7,-9,
CAPEX,209,180,234,121,16,31,27,
FCF,-583,-215,969,-264,133,135,130,
이자발생부채,860,989,749,,700,704,705,
영업이익률,-8.85,20.18,9.65,-7.05,0.87,-17.95,-25.52,0.55
순이익률,-10.56,15.19,7.87,1.80,9.70,-0.46,-9.81,
ROE(%),-45.51,68.25,11.54,1.70,8.71,3.65,1.70,
ROA(%),-12.86,29.62,6.54,1.07,5.35,2.15,1.06,
부채비율,217.21,96.10,58.95,58.78,50.02,47.67,48.48,58.78
자본유보율,805.32,976.96,"1,108.97",,"1,147.31","1,146.24","1,128.40",
EPS(원),-927,"2,679",669,105,192,-5,-89,
PER(배),N/A,19.07,120.64,309.09,121.18,236.44,377.30,
BPS(원),"2,298","5,469","6,127","6,306","6,381","6,388","6,403","6,306"
PBR(배),4.80,9.34,13.17,5.17,10.14,8.47,6.27,5.17
현금DPS(원),0,,,0,,,,
현금배당수익률,0.00,,,0.00,,,,
현금배당성향(%),0.00,0.00,0.00,,0.00,,0.00,
발행주식수(보통주),"37,620,000","39,820,883","39,820,883",,"39,820,883","39,820,883","39,820,883",
